Attack,Attack_Cost,Attack_Perm,AttackSpeed,AttackSpeed_Cost,AttackSpeed_Perm,CriticalChance,CriticalChance_Cost,CriticalChance_Perm,CriticalDamage,CriticalDamage_Cost,CriticalDamage_Perm,AttackRange,AttackRange_Cost,AttackRange_Perm,Health,Health_Cost,Health_Perm,Regeneration,Regeneration_Cost,Regeneration_Perm,Defense,Defense_Cost,Defense_Perm,Reflection,Reflection_Cost,Reflection_Perm,LifeSteal,LifeSteal_Cost,LifeSteal_Perm,GoldMultiplier,GoldMultiplier_Cost,GoldMultiplier_Perm,GoldPerWave,GoldPerWave_Cost,GoldPerWave_Perm,CoinMultiplier,CoinMultiplier_Cost,CoinMultiplier_Perm,CoinPerWave,CoinPerWave_Cost,CoinPerWave_Perm,,,
3,10,30,1,6,30,1,4,50,1.2,10,50,30,10,50,5,10,30,0,10,30,0,3,50,0,10,60,0,10,60,1,10,30,0,16,30,1,10,50,1,12,50,,,
6,12,55,1.05,7,55,2,7,78,1.3,12,78,30.5,14,78,10,12,55,0.04,12,55,0.51,5,75,1,13,85,0.1,13,85,1.01,12,55,4,18,55,1.01,12,83,2,16,83,,,
9,14,87,1.1,10,87,3,9,114,1.4,15,114,31,20,114,15,14,87,0.09,14,87,1.52,8,107,2,18,117,0.2,18,117,1.02,15,87,8,22,87,1.02,15,125,3,21,125,,,
12,16,127,1.15,14,127,4,13,160,1.5,19,160,31.5,26,160,20,16,127,0.15,16,127,2.55,12,147,3,24,157,0.29,24,157,1.03,19,127,12,26,127,1.03,19,180,4,29,180,,,
15,20,176,1.2,20,176,5,18,217,1.6,23,217,32,33,217,26,20,176,0.23,20,176,3.62,16,196,4,31,206,0.39,31,206,1.04,23,176,16,32,176,1.04,23,249,5,38,249,,,
19,24,234,1.25,27,234,6,24,285,1.7,28,285,32.5,42,285,33,24,234,0.34,24,234,4.74,21,254,5,39,264,0.48,39,264,1.05,28,234,20,39,234,1.05,28,332,6,50,332,,,
23,29,302,1.3,36,302,7,31,366,1.8,34,366,33,51,366,40,29,302,0.47,29,302,5.9,26,321,6,48,332,0.57,48,332,1.06,34,302,24,47,302,1.06,34,432,7,64,432,,,
26,35,379,1.35,46,379,8,39,461,1.9,41,461,33.5,62,461,49,35,379,0.63,35,379,7.12,33,399,7,59,411,0.67,59,411,1.07,41,379,28,56,379,1.07,41,548,8,80,548,,,
30,41,467,1.4,58,467,9,48,569,2,49,569,34,74,569,59,41,467,0.82,41,467,8.4,40,487,8,71,502,0.75,71,502,1.08,49,467,32,67,467,1.08,49,684,9,98,684,,,
34,49,566,1.45,72,566,10,58,691,2.1,57,691,34.5,87,691,71,49,566,1.04,49,566,9.76,47,586,9,84,605,0.84,84,605,1.09,57,566,36,79,566,1.09,57,838,10,118,838,,,
