HP,Damage
2,1
3,1
4,2
6,2
7,2
9,3
11,3
13,4
15,4
18,5
21,5
24,6
27,7
30,8
35,8
38,9
42,10
46,11
51,12
59,14
64,15
70,16
75,17
81,18
94,20
101,22
108,23
115,24
122,26
143,29
152,30
161,32
171,34
180,36
195,38
206,40
217,42
228,44
239,46
266,50
279,53
292,55
305,57
319,60
341,63
356,66
371,69
386,71
402,74
477,81
496,84
515,87
535,91
554,94
587,98
608,102
630,105
651,109
674,112
809,120
836,124
863,128
891,132
919,136
966,142
996,146
1.03K,150
1.06K,154
1.09K,159
1.17K,168
1.20K,173
1.37K,179
1.41K,184
1.44K,189
1.55K,198
1.59K,203
1.63K,208
1.67K,213
1.72K,218
1.82K,230
1.87K,235
1.92K,241
2.18K,249
2.23K,255
2.32K,264
2.38K,270
2.43K,276
2.49K,282
2.55K,288
2.78K,305
2.84K,311
2.91K,318
2.97K,324
3.35K,334
3.47K,345
3.55K,352
3.62K,360
3.70K,367
3.77K,374
4.36K,403
4.45K,411
4.54K,419
4.64K,427
4.73K,435
4.88K,448
4.97K,456
5.31K,469
5.42K,478
5.52K,486
5.76K,507
5.87K,516
5.98K,525
6.09K,535
6.20K,544
6.38K,559
6.49K,569
6.61K,578
6.72K,588
6.84K,598
7.72K,625
7.85K,635
7.98K,646
8.12K,656
8.25K,666
8.60K,688
8.75K,699
8.89K,710
9.03K,721
9.18K,732
9.53K,761
9.68K,772
9.84K,784
9.99K,795
10.15K,807
10.40K,827
10.56K,839
10.72K,851
10.88K,863
12.26K,875
12.71K,908
12.90K,921
13.09K,933
13.28K,946
14.39K,969
14.73K,992
14.94K,1.01K
15.15K,1.02K
15.37K,1.03K
15.58K,1.05K
17.19K,1.10K
17.42K,1.12K
17.66K,1.13K
17.90K,1.15K
18.15K,1.16K
18.55K,1.19K
18.80K,1.20K
19.05K,1.22K
19.30K,1.23K
19.55K,1.25K
20.18K,1.29K
20.44K,1.31K
20.71K,1.32K
20.97K,1.34K
21.24K,1.35K
21.69K,1.38K
23.54K,1.41K
23.84K,1.43K
24.14K,1.45K
24.43K,1.46K
25.17K,1.51K
25.48K,1.53K
25.79K,1.55K
26.10K,1.56K
26.42K,1.58K
27.25K,1.62K
27.57K,1.64K
27.90K,1.66K
28.23K,1.68K
28.56K,1.70K
31.59K,1.76K
31.96K,1.78K
35.89K,1.80K
36.30K,1.82K
36.71K,1.84K
37.40K,1.87K
37.82K,1.89K
38.25K,1.91K
41.34K,1.95K
41.80K,1.97K
42.93K,2.03K
43.40K,2.05K
